Field	en	af	my	et	et-placeholders	et	et-placeholders	fi	fi-placeholders	fi	fi-placeholders	fi	fi-placeholders	fr	fr-placeholders	fr	fr-placeholders	fr	fr-placeholders	he	he-placeholders	he	he-placeholders	it	it-placeholders	it	it-placeholders	jv	es	es-placeholders	es	es-placeholders	sw	th	uk	uk-placeholders	uk	uk-placeholders	uk	uk-placeholders	uk	uk-placeholders	qu	qu-placeholders	ur	ur-placeholders	ur	ur-placeholders	eu	ar	bg	bg-placeholders	bg	bg-placeholders	bg	bg-placeholders	bn	nl	nl-placeholders	nl	nl-placeholders	zh	de	de-placeholders	de	de-placeholders	de	de-placeholders	ka	hi	hi-placeholders	hi	hi-placeholders	ht	id	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ja	ja-placeholders	ja	ja-placeholders	ta	ta-placeholders	ta	ta-placeholders	ta	ta-placeholders	ta	ta-placeholders	kk	fa	fa-placeholders	fa	fa-placeholders	fa	fa-placeholders	ko	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	hu	hu-placeholders	hu	hu-placeholders	pt	pt-placeholders	pt	pt-placeholders	ms	az	el	el-placeholders	el	el-placeholders	el	el-placeholders	gu	ha	lt	lt-placeholders	lt	lt-placeholders	lt	lt-placeholders	ml	mr	mr-placeholders	mr	mr-placeholders	mr	mr-placeholders	pa	pa-placeholders	pa	pa-placeholders	tl	te	tr	tr-placeholders	tr	tr-placeholders	vi	vi-placeholders	vi	vi-placeholders	vi	vi-placeholders	vi	vi-placeholders	wo	yo	yo-placeholders	yo	yo-placeholders
state	optimistic	optimisties	အကောင်းမြင်သော	optimistlik				optimistinen						optimiste						אופטימי				ottimista				optimis	optimista				mwenye imani	มองโลกในแง่ดี	оптимістичний								qaliyasqam		پر امید				optimista	متفائل	оптимистичен						আশাবাদী	optimistisch				乐观	optimistisch						ოპტიმისტურად განწყობილი	आशावादी				optimis	optimis	оптимизмом																楽観的				நன்னம்பிக்கையானவர்								оптимист	خوش‌بین						낙관적인	optymistyczny												optimista				otimista				optimistik	optimistdir	αισιόδοξος						આશાવાદી	kaffa-kaffa	optimistiškas						ശുഭാപ്തിവിശ്വാസമുള്ള	आशावादी						ਆਸ਼ਾਵਾਦੀ				positibo ang pananaw	ఆశాజనకం	iyimser				lạc quan								rafet njort	nirèti àyọrisi rere			
state	passionate	passievol	စိတ်ပြင်းပြသော	kirglik				intohimoinen						passionné						להוט				entusiasmato				semangat	apasionado				mwenye hamu	กระตือรือร้น	захоплений								munasqam		جذباتی				sutsu	عاطفي	пламенен						আবেগপ্রবণ	gepassioneerd				热情	leidenschaftlich						თავშეუკავებელი	जुनूनी				pasyone	bergairah	увлечен																情熱的				விருப்பமுள்ளவர்								ынтық	مشتاق						열정적인	pełen pasji												szenvedélyes				apaixonado				ghairah	coşquludur	παθιασμένος						ઉત્સાહી	masifar so	aistringas						വികാരാധീനമായ	उत्कट						ਜੋਸ਼ੀਲਾ				mahilig	అనురక్తి	tutkulu				đam mê								sopp lool	ní-ìtara			
state	positive	positief	အပြုသဘောဆောင်သော	positiivne				positiivinen						positif						חיובי				positivo				positip	positivo				mwenye matumaini	มองโลกในแง่ดี	позитивний								kawsarisqam		مثبت				baikor	إيجابي	позитивен						ইতিবাচক	positief				肯定	positiv						პოზიტიური	सकारात्मक				pozitif	positif	позитивно																積極的				நேர்மறையானவர்								позитив	مثبت‌نگر						긍정적인	pozytywnie nastawiony												határozott				positivo				positif	pozitivdir	θετικός						હકારાત્મક	tabbaci	pozityvus						പോസിറ്റീവ്	सकारात्मक						ਸਕਾਰਾਤਮਕ				positibo	సానుకూలం	olumlu				tích cực								baax	dájúdájú			
state	bullish	optimisties	နွားသိုးနှင့်တူသော	positiivselt meelestatud				härkäpäinen						déterminé						עיקש				testardo				bungah	optimista				hodari	มั่นใจ	певний								huntapasqam		پر امید				temati	سفيه	оптимистичен						মূল্যবৃদ্ধি-প্রত্যাশী	koppig				看好	stur						ენერგიული	आशावान				optimis	percaya diri	оптимистично																楽観的				நம்பிக்கையுள்ளவர்								сенімді	خوش‌بین						희망에 찬	agresywnie pewny siebie												derűlátó				otimista				agresif	zorbadır	αισιόδοξος						તેજી	ƙwarin guiwa	pasitikintis						വിഡ്ഡിത്തം	तेजी						ਆਸ਼ਾਵਾਨ				mapang-api	దుడుకు	inatçı				nhiều hy vọng								luy yokk	òǹrorò			
state	serious	ernstig	အလေးအနက်ထားသော	tõsine				vakava						sérieux						רציני				serio				serius	serio				mwenye kumakinika	จริงจัง	серйозний								chiqam		سنجیدہ				serio	جاد	сериозен						সিরিয়াস	ernstig				严肃	ernsthaft						სერიოზული	गंभीर				serye	serius	серьезно																真剣				கருத்தூன்றியவர்								салмақты	جدی						진지한	poważny												komoly				sério				serius	ciddidir	σοβαρός						ગંભીર	mai tsanani	rimtas						ഗൗരവമായത്	गंभीर						ਗੰਭੀਰ				seryoso	సీరియస్	ciddi				nghiêm túc								yiw	pẹ̀lú-ìrònújinlẹ̀			
state	happy	gelukkig	ပျော်ရွှင်သော	õnnelik				onnellinen						heureux						שמח				felice				seneng	feliz				mwenye furaha	มีความสุข	щасливий								kusisqam		خوش				pozik	سعيد	щастлив						সুখী	blij				愉快	glücklich						ბედნიერი	प्रसन्न				kontan	senang	доволен																満足				மகிழ்ச்சியானவர்								бақытты	خوشحال						행복한	szczęśliwy												boldog				contente				gembira	xoşbəxtdir	χαρούμενος						ખુશ	farin ciki	laimingas						സന്തോഷം	आनंदी						ਖੁਸ਼				masaya	సంతోషం	mutlu				hạnh phúc								kontaan	dun-nú			
state	upbeat	vrolik	အကောင်းမြင်ဝါဒရှိသော	lootusrikkalt meelestatud				myönteinen						enjoué						עליז				ottimista				optimis	contento				mchangamfu	มองโลกในแง่ดี	оптимістичний								suyariqmi		مسرور				alai	مبتهج	приповдигнат						আশাবাদী	opgewekt				积极	fröhlich						სიცოცხლით სავსე	जोशपूर्ण				pozitif	gembira	позитивно																楽観的				உற்சாகமானவர்								оптимист	خوش‌بین						낙천적인	pozytywnie nastawiony												vidám				otimista				ceria	sevinclidir	καλοδιάθετος						પ્રસન્ન	fara'a	optimistiškai nusiteikęs						ഉല്ലാസം	अपबीट						ਉਤਸ਼ਾਹ-ਭਰਪੂਰ				masayahin	ఉల్లాసం	neşeli				lạc quan								rafet njort	yára-kánkán			
state	open	openlik	ဖွင့်ထားသော	avatud				avoin						ouvert						פתוח				aperto				mbukak	abierto				mkubalifu	เปิดกว้าง	відкритий								uyariqmi		کھلے دل کا				zintzo	صريح	открит						উন্মুক্ত	open				开放	offen						ღია	खुला हुआ				ouvè	terbuka	открыто рассказывает																あけっぴろげ				வெளிப்படையானவர்								ашық	پذیرا						개방적인	otwarty												nyitott				aberto				terbuka	açıqdır	ανοικτός						ખુલ્લું	buɗe	atviras						തുറക്കുക	प्रांजळ						ਖੁੱਲਾ				bukas	నిష్కపటం	açık				cởi mở								ubbi	sí			
state	concerned	besorgd	သက်ဆိုင်သော	mures				huolestunut						préoccupé						מוטרד				preoccupato				kuwatir	preocupado				mwenye kujali	กังวล	стурбований								llakisqam		متفکر				kezkatuta	مهتم	загрижен						উদ্বিগ্ন	bezorgd				担忧	beunruhigt						შეშფოთებული	चिंतित				enkyè	risau	озабочен																心配している				அக்கறையுள்ளவர்								қобалжығыш	نگران						걱정하는	zaniepokojony												aggódó				preocupado				bimbang	narahatdır	προβληματισμένος						ચિંતિત	damu	susirūpinęs						ബന്ധപ്പെട്ടത്	चिंतित						ਚਿੰਤਤ				nag-aalala	ఆందోళన	endişeli				quan tâm								jaaxle	sàníyàn			
state	confident	vol vertroue	ယုံကြည်စိတ်ချမူရှိသော	kindel				luottavainen						confiant						בטוח				fiducioso				manteb ing ati	confiado				jasiri	มั่นใจ	упевнений								sapaqchaqm		پر اعتماد				ziur	واثق	уверен						আস্থাশীল	zelfverzekerd				自信	zuversichtlich						დარწმუნებული	आत्मविश्वासी				konfyan	yakin	уверенностью																自信満々				நம்பிக்கையானவர்								сенімді	مطمئن						확신하는	pewny												magabiztos				confiante				yakin	əmindir	σίγουρος						આત્મવિશ્વાસુ	haƙiƙance	tikras						ആത്മവിശ്വാസമുള്ളത്	आत्मविश्वाशी						ਵਿਸ਼ਵਾਸ-ਭਰਪੂਰ				may kumpiyansa	నమ్మకం	kendinden emin				tự tin								woolu sa bopp	ní-gbẹkẹ̀lé			
state	pleased	tevrede	ကျေနပ်အားရသော	rahul				mielissään						satisfait						מרוצה				soddisfatto				seneng	complacido				mwenye kuridhika	พอใจ	задоволений								huntasqam		خوش				kontent	مسرور	доволен						সন্তুষ্ট	tevreden				满意	erfreut						ნასიამოვნები	खुश				kontan	senang	доволен																喜んでいる				மனநிறைவானவர்								қуанышты	خشنود						기뻐하는	zadowolony												elégedett				satisfeito				seronok	məmnundur	ευχαριστημένος						ખુશ	faranta	patenkintas						സന്തുഷ്‌ടമായ	प्रसन्न						ਖੁਸ਼				natutuwa	సంతోషం	memnun				thoải mái								bég	dun-nú			
state	vocal	uitgesproke	အသံ	häälekas				äänekäs						démonstratif						קולני				esplicito				vokal	elocuente				mtetezi	ชัดเจน	голосливий								qapariqmi		بولنے والا				espresibo	صاخب	гласовит						উচ্চকণ্ঠ	uitgesproken				直言	lautstark						მჟღერი	मुखर				pale	vokal	активно высказывается																発言力のある				கருத்துக் கூறுபவர்								шулы	جنجالی						강경한	głośno wyrażający opinię												hangos				crítico				berterus-terang	açıq fikirlidir	εκφραστικός						વાચાળ	murya	protestuojantis						വാചികമായത്	वाचिक						ਮੌਖਿਕ				mapanuri	బహిర్ముఖం	konuşkan				nói nhiều								wokaal	tó ni ohùn			
state	hopeful	hoopvol	မျှော်လင့်ချက်ရှိသော	lootusrikas				toiveikas						confiant						מלא תקווה				speranzoso				duwe pangarep-arep	esperanzado				mwenye matarajio	มีความหวัง	сповнений надій								suyaqmi		پر امید				itxaropentsu	مفعم بالأمل	обнадежден						আশাবাদী	hoopvol				抱有希望	hoffnungsvoll						იმედიანი	आशान्वित				plen espwa	berharap	обнадежен																期待している				நம்பிக்கையுள்ளவர்								үмітті	امیدوار						희망적인	pełen nadziei												reményteli				esperançoso				berharap	ümidlidir	αισιόδοξος						આશાવાન	sa rai	kupinas vilčių						പ്രത്യാശയുള്ള	आशावादी						ਆਸਵੰਦ				umaasa	ఆశాజనకం	umutlu				tin tưởng								am yaakaar	nírètí			
state	particular	puntenerig	တစ်ဦးချင်းစီဖြစ်သော	nõudlik				tarkka						précis						קפדן				scrupoloso				khusus	concreto				mwenye kumakinika	พิถีพิถัน	розбірливий								sapaqmi		محتاط				ardurati	محدد	конкретен						বিশিষ্ট	nauwkeurig				挑剔	bestimmt						თავისებური	सतर्क				patikilye	tertentu	придирчиво																うるさい				நுட்பமுள்ளவர்								талапшыл	دقیق						특별한	konkretny												aprólékos				exigente				cerewet	diqqətcildir	ιδιότροπος						ચોક્કસ	musamman	smulkmeniškas						പ്രത്യേകമായ	काटेकोर						ਨਵੇਕਲਾ				partikular	నిర్ధిష్టం	titiz				đặc biệt								xejjiku	yẹ fún àfiyèsí			
state	cautious	versigtig	သတိရှိသော	ettevaatlik				varovainen						prudent						זהיר				cauto				ngati-ati	cauteloso				mwangalifu	รอบคอบ	обережний								waqaychakuqmi		محتاط				zuhur	حذر	предпазлив						সতর্ক	voorzichtig				谨慎	vorsichtig						ფრთხილი	सावधानन				pridan	berhati-hati	осторожностью																慎重				எச்சரிக்கையானவர்								сақ	محتاط						신중한	ostrożny												óvatos				cuidadoso				berwaspada	ehtiyatlıdır	προσεκτικός						સાવધ	taka-tsantsan	apdairus						ജാഗതയുള്ള	सावध						ਸਾਵਧਾਨ				maingat	జాగ్రత్త	dikkatli				cẩn trọng								moytu	sọ́'ra			
state	curious	nuuskierig	စူးစမ်းချင်စိတ်ပြင်းပြသော	uudishimulik				utelias						curieux						סקרן				curioso				penasaran	curioso				mwenye hamu ya kujua	สนใจ	допитливий								qaqachim		متجسس				jakinguratsu	فضولي	любопитен						কৌতুহলী	nieuwsgierig				好奇	neugierig						ცნობისმოყვარე	उत्सुक				kirye	penasaran	любопытством																興味深々				ஆர்வமுள்ளவர்								қызыққұмар	کنجکاو						호기심 많은	zaciekawiony												kíváncsi				curioso				ingin tahu	həvəslidir	περίεργος						જીજ્ઞાસુ	zaƙuwa	smalsus						ആകാംഷയുള്ള	चौकस						ਜਗਿਆਸੂ				mausisa	ఆసక్తి	meraklı				tò mò								bëgg xam lépp	jẹ kàyéfì			
state	skeptical	skepties	မယုံကြည်သော	skeptiline				skeptinen						sceptique						ספקן				scettico				skeptis	escéptico				mwenye mashaka	ขี้สงสัย	скептичний								mana iñiqmi		وہمی				eszeptiko	مرتاب	скептичен						সংশয়বাদী	sceptisch				怀疑	skeptisch						სკეპტიკური	संशयी				septik	ragu	скептически																懐疑的				ஐயுறுவுள்ளவர்								скептик	شکاک						회의적인	sceptyczny												szkeptikus				cético				ragu-ragu	skeptikdir	επιφυλακτικός						શંકાસ્પદ	shakka	skeptiškas						സന്ദേഹമുളവാക്കുന്ന	संशयी						ਸ਼ੱਕੀ				nagdududa	సంశయాత్మకం	şüpheci				nghi ngờ								ñakk koolute	se iyèmejì			
state	pessimistic	pessimisties	မကောင်းမြင်ဝါဒဖြစ်သော	pessimistlik				pessimistinen						pessimiste						פסימי				pessimista				pesimis	pesimista				mwenye kukatisha tamaa	มองโลกในแง่ร้าย	песимістичний								yanqam		یاس زدہ				ezkor	متشائم	песимистичен						হতাশাবাদী	pessimistisch				悲观	pessimistisch						პესიმისტური	निराशावादी				pesimis	pesimis	пессимизмом																悲観的				நம்பிக்கையற்றவர்								пессимист	بدبین						비관적인	pesymistyczny												pesszimista				pessimista				pesimistik	pessimistdir	απαισιόδοξος						નિરાશાવાદી	mugun fata	pesimistiškas						അശുഭാപ്തി വിശ്വാസമുള്ള	निराशावादी						ਨਿਰਾਸ਼ਾਵਾਦੀ				negatibo ang pananaw	నిరాశాపూరితం	kötümser				bi quan								ñakk yaakaar	ni ireti ohun búburú			
very	very	baie	အလွန်	väga				hyvin						très						מאוד				molto				banget	muy				sana	มาก	дуже								aswan		بہت				oso	جدًا	много						অত্যন্ত	erg				很	sehr						ძალიან	बहुत				trè	sangat	очень	excited, passionate, happy, concerned, pleased, hopeful, positive, serious, bullish, upbeat, particular, skeptical, open, vocal	большим	enthusiastic, optimistic, curious, pessimistic	большой	confident, cautious											とても				மிகவும்								өте	خیلی						매우	bardzo												nagyon				muito				sangat	çox	πολύ						ખૂબ	sosai	labai						വളരെ	अत्यंत						ਬਹੁਤ				masyado	చాలా	çok				rất								lool	bẹ́ẹ̀-gẹ́gẹ́			
very	extremely	uiters	အလွန်အမင်း	ülimalt				erittäin						extrêmement						ביותר				estremamente				luar biyasa	extremadamente				kabisa	อย่างยิ่ง	надзвичайно								paqway		انتہائی				zeharo	للغاية	изключително						চরম	zeer				极其	extrem						უკიდურესად	अत्यधिक				anpil	luar biasa	чрезвычайно	excited, passionate, happy, concerned, pleased, hopeful, positive, serious, bullish, upbeat, particular, skeptical, open, vocal	чрезвычайным	enthusiastic, optimistic, curious, pessimistic	чрезвычайной	confident, cautious											ひどく				மிக அதிகமான								өте-мөте	به‌شدت						극도로	ekstremalnie												rendkívül				extremamente				amat sangat	həddən çox	εξαιρετικά						અતિશય	ainun	ypač						തീര്‍ച്ചയായും	अत्याधिक						ਹੱਦੋਂ ਜਿਆਦਾ				labis	అత్యంత	aşırı derece				rất nhiều								bamu ëpp	tayọ			
very	really	werklik	အမှန်စင်စစ်	tõeliselt				todella						vraiment						ממש				davvero				tenan	realmente				zaidi	จริงๆ	дійсно								chiqaq		واقعی				benetan	حقًا	наистина						প্রকৃতই	enorm				相当	wirklich						ნამდვილად	सच में				vrèman	benar-benar	крайне	excited, passionate, happy, concerned, pleased, hopeful, positive, bullish, serious, bullish, upbeat, particular, skeptical	предельным	enthusiastic, optimistic, curious, pessimistic	предельной	confident, cautious	предельно	open, vocal									本当に				உண்மையிலேயே								шынымен	واقعاً						정말로	naprawdę												igazán				realmente				benar-benar	həqiqətən	πραγματικά						ખરેખર	gaske	tikrai						ശരിക്കും	खरोखर						ਵਾਕਈ				talaga	నిజంగా	gerçekten				thật sự								dëgëntaan	ni-tòótọ́			
very	quite	nogal	အတော်အသင့်	üsna				melko						assez						למדי				abbastanza				cukup	bastante				mno	ค่อนข้าง	цілком								ancha		کافی				nahiko	تمامًا	доста						পুরোপুরি	nogal				颇为	ziemlich						სავსებით	काफ़ी				totalman	cukup	значительно	excited, passionate, happy, concerned, pleased, hopeful, positive, serious, bullish, upbeat, particular, skeptical	изрядным	enthusiastic, optimistic, curious, pessimistic	изрядной	confident, cautious	весьма	open, vocal									かなり				முற்றிலும்								расында	تا اندازه‌ای						꽤	całkiem												eléggé				bem				agak	yetərincə	αρκετά						શાંત	ƙwarai	ganėtinai						മുഴുവനും	शांत						ਅਤਿਅੰਤ				tunay	బొత్తిగా	oldukça				khá								teey	pátápátá			
very	incredibly	ongelooflik	မယုံနိုင်ဖွယ်ရာဖြစ်သော	uskumatult				uskomattoman						incroyablement						להפליא				incredibilmente				luar biyasa banget	increíblemente				kabisa zaidi	อย่างเหลือเชื่อ	неймовірно								aswanpuni		حد سے زیادہ				izugarri	إلى أبعد حد	невероятно						অবিশ্বাস্যভাবে	ongelofelijk				非常	unglaublich						დაუჯერებლად	बहुत ही				anpil anpil	luar biasa	невероятно	excited, passionate, happy, concerned, pleased, hopeful, positive, serious, bullish, upbeat, particular, skeptical, open, vocal	невероятным	enthusiastic, optimistic, curious, pessimistic	невероятной	confident, cautious											信じられないほど				வியக்கத்தக்க								ерекше	به‌طرز باورنکردنی						놀라울 정도로	niesamowicie												felettébb				incrivelmente				luar biasa	inanılmaz dərəcədə	απίστευτα						આશ્ચર્યજનક રીતે	wuce kima	nepaprastai						അവിശ്വസനീയമായ	विलक्षणीय						ਉਚੇਚੇ ਤੌਰ \'ਤੇ				hindi kapani-paniwala	అసాధారణం	inanılmaz şekilde				vô cùng								doywaar	ti kò se é gbàgbọ́			
very	particularly	veral	အထူးသဖြင့်	eriti				erityisen						particulièrement						במיוחד				particolarmente				utamane	particularmente				hasa	อย่างเป็นพิเศษ	особливо								sapaqchasqa		خاص طور پر				bereziki	خصوصًا	конкретно						বিশেষভাবে	bijzonder				尤其	besonders						განსაკუთრებით	विशेष रूप से				patikilyèman	terutama	особенно	excited, passionate, happy, concerned, pleased, hopeful, positive, serious, bullish, upbeat, particular, skeptical, open, vocal	особым	enthusiastic, optimistic, curious, pessimistic	особой	confident, cautious											特に				குறிப்பாக								ерекше	به‌ویژه						특별히	szczególnie												különösen				particularmente				terutama sekali	xüsusilə	ιδιαίτερα						ચોક્કસ	tun ba	ypatingai						പ്രത്യേകമായി	काटेकोरपणे						ਖਾਸ ਤੌਰ \'ਤੇ				partikular	నిర్ధిష్టం	özellikle				đặc biệt								rawatina	yiyẹ fún àfiyèsí			
very	highly	hoogs	လွန်ကဲစွာ	äärmiselt				erittäin						hautement						במידה רבה				assai				banget	altamente				mno	อย่างสูง	вельми								hatunpuni		بہت زیادہ				txit	إلى حد كبير	високо						অত্যন্ত	buitengewoon				特别	höchst						ფრიად	निहायत				anpil	sangat	исключительно	excited, passionate, happy, concerned, pleased, hopeful, positive, bullish, serious, bullish, upbeat, particular, skeptical, open, vocal	исключительным	enthusiastic, optimistic, curious, pessimistic	исключительной	confident, cautious											たいへん				பெருமளவு								жоғары деңгейде	بسیار						고도로	niezwykle												nagyon				altamente				sangat	çox	πάρα πολύ						ખૂબ જ	sosai	gerai						അധികമായി	उच्चतेने						ਵਧੇਰਾ				lubha	అత్యధికం	son derece				rất								gëna kawe	gigajùlọ			
very	super	super	သာလွန်သော	hästi				suunnattoman						super						מאוד מאוד				super				super	súper				kabisa	อย่างมาก	найвищою мірою								llunpay		بہت ہی زیادہ				ikaragarri	فائق	супер						সুপার	super				超级	super						სუპერ	अति				fòmidab	super	чрезмерно	excited, passionate, happy, concerned, pleased, hopeful, positive, bullish, serious, bullish, upbeat, particular, skeptical, open, vocal	чрезмерным	enthusiastic, optimistic, curious, pessimistic	чрезмерной	confident, cautious											すごく				மேன்மையான								супер	خیلی						탁월한	niesłychanie												rendkívül				super				luar biasa	lap	υπερβολικά						એકદમ	mai armashi	itin						വിശിഷ്ടമായ	अति						ਬਹੁਤਾ ਜਿਆਦਾ				labis	ఉత్తమం	aşırı				siêu								baax lool	dára-rékọjá			
somewhat	a little	’n bietjie	သေးသော	veidi				hieman						un peu						מעט				un po'				sethithik	un poco				kidogo	เล็กน้อย	трохи								pisi		تھوڑا سا				pixka bat	قليلاً	малко						সামান্য	een beetje				有点	ein wenig						ოდნავ	ज़रा सा				yon tikras	sedikit	немного	excited, passionate, happy, concerned, pleased, hopeful, positive, serious, bullish, upbeat, particular, skeptical	меньшим	enthusiastic, optimistic, curious, pessimistic	меньшей	confident, cautious	мало	open, vocal									すこし				சிறிதளவு								аздап	کمی						약간	trochę												kissé				um pouco				sedikit sangat	bir az	λίγο						મહદ્અંશે	ɗan kaɗan	šiek tiek						അൽപം	थोडेसे						ਥੋੜ੍ਹਾ ਜਿਹਾ				kaunti	చాలా తక్కువ	biraz				một chút								tuuti	díẹ̀			
somewhat	somewhat	ietwat	အတော်ကလေး	pisut				jokseenkin						quelque peu						במידה מסוימת				piuttosto				rada	un tanto				kiasi	ค่อนข้าง	деякою мірою								as		کسی حد تک				zertxobait	إلى حد ما	донякъде						কিছুটা	ietwat				有几分	etwas						ცოტაოდენ	थोड़ा सा				yon tijan	agak	отчасти	excited, passionate, happy, concerned, pleased, hopeful, positive, bullish, serious, bullish, upbeat, particular, skeptical	некоторым	enthusiastic, optimistic, curious, pessimistic	некоторой	confident, cautious	изредка	open, vocal									いくぶん				ஓரளவு								біраз	تا حدی						다소	w pewnym stopniu												valamelyest				um tanto				agak	bir qədər	κάπως						આંશિક	kaɗan	iš dalies						ഏറെക്കുറെ	काहीसे						ਕੁਝ ਕੁ				medyo	కొంతమేరకు	bir miktar				hơi								xawa	bákan			
somewhat	slightly	effens	အနည်းငယ်	kergelt				hiukan						légèrement						במקצת				leggermente				ora pati	ligeramente				kidogo	เล็กน้อย	злегка								aslla		خفیف سا				apur bat	بعض الشيء	леко						সামান্য মাত্রায়	enigszins				稍微有些	leicht						უმნიშვნელოდ	मामूली सा				lejèman	sedikit	слегка	excited, passionate, happy, concerned, pleased, hopeful, positive, bullish, serious, bullish, upbeat, particular, skeptical	незначительным	enthusiastic, optimistic, curious, pessimistic	незначительной	confident, cautious	редко	open, vocal									やや				மிதமாக								кішкене	اندکی						조금	nieco												némileg				levemente				sedikit	azacıq	ελαφρώς						થોડા	da dama-dama	truputį						ചെറുതായി	थोड्या प्रमाणात						ਮਾੜਾ ਜਿਹਾ				bahagya	స్వల్పంగా	çok az				hơi								xawa jege	fi-díẹ̀			
somewhat	mildly	lig	အတော်အတန်ဖြစ်သော	mingil määral				vähän						passablement						קלות				moderatamente				sethithik	moderadamente				kiasi	เล็กน้อย	не дуже								as aslla		ہلکا سا				pixka bat	باعتدال	умерено						মৃদুভাবে	lichtelijk				略有些	verhalten						რბილად	हल्का सा				modereman	lumayan	умеренно	excited, passionate, happy, concerned, pleased, hopeful, positive, bullish, serious, bullish, upbeat, particular, skeptical, open, vocal	умеренным	enthusiastic, optimistic, curious, pessimistic	умеренной	confident, cautious											いささか				இலேசாக								сәл	اندکی						좀	umiarkowanie												enyhén				ligeiramente				ringan	bir qədər	σχετικά						હળવા	mara tsanani	nedaug						സാവധാനം	सौम्य प्रमाणात						ਹਲਕਾ ਜਿਹਾ				katamtaman	ఒక మాదిరిగా	hafif				hơi								ndànk	pẹ̀lẹ́pẹ̀lẹ́			
																																																																																																																																																																																	
Name	size, shape, age, color																																																																																																																																																																																
Capability	Taxonomy																																																																																																																																																																																
